oid,order_date,revenue,uid
o_6464340367720,2019-06-04,987,1977063117428
o_3250639350268,2019-07-09,1757,1977063117428
o_1069773391530,2019-07-21,1380,1977063117428
o_8535010565482,2019-08-11,1150,1977063117428
o_0501192807113,2019-04-12,1117,1411482247934
o_3436149621672,2019-05-05,1344,1411482247934
o_3893154811786,2019-06-17,280,1411482247934
o_7831516598438,2019-07-30,784,1411482247934
o_0121494227794,2019-07-31,1066,5393844230982
o_5380930164979,2019-07-01,1749,0566937120827
o_5291630068132,2019-07-01,1076,0566937120827
o_4211203007048,2019-07-29,1483,0566937120827
o_0982744293279,2019-08-07,949,0566937120827
o_1704673252467,2019-01-18,423,6066375556294
o_2838083839044,2019-03-02,514,6066375556294
o_0973108545486,2019-04-02,1299,6066375556294
o_1268087712042,2019-04-23,533,6066375556294
o_7210345717911,2019-05-18,1322,6066375556294
o_2600036214440,2019-06-13,1433,6066375556294
o_6984349319433,2019-09-07,1365,0062971566565
o_7678717618677,2019-09-07,1542,0062971566565
o_6690770777819,2019-07-15,394,7545607816195
o_6142760403371,2019-07-28,854,7545607816195
o_7853201754837,2019-09-05,1013,7545607816195
o_9512332731879,2019-07-10,1296,3644184969882
o_6244386345803,2019-07-15,557,3644184969882
o_6521413094379,2019-08-02,1654,3644184969882
o_8515078962133,2019-08-28,1204,3644184969882
o_0213676644694,2019-08-10,1582,5742867497917
o_7387284254897,2019-08-24,1466,5742867497917
o_1115395354146,2019-07-28,842,9057069498461
o_6962174112344,2019-08-11,760,9057069498461
o_9068517260820,2019-08-14,309,9057069498461
o_1227234048168,2019-05-08,1358,7755585638423
o_9879375855628,2019-06-14,329,7755585638423
o_7991853214856,2019-07-27,1367,7755585638423
o_0025646028393,2019-08-16,1414,7755585638423
o_6288759717446,2019-08-17,1387,7755585638423
o_8444818901821,2019-06-26,790,2601493349904
o_8431762656860,2019-07-23,960,2601493349904
o_4740742489478,2019-09-05,1596,2601493349904
o_6425863547495,2019-08-17,1365,9057305783610
o_7966869269596,2019-09-08,309,9057305783610
o_6239938450227,2019-04-29,1486,0742978511804
o_3826244319701,2019-05-04,797,0742978511804
o_3194840873379,2019-05-04,1709,0742978511804
o_1641828921680,2019-05-20,1717,0742978511804
o_1792709323922,2019-06-27,973,0742978511804
o_4275036988530,2019-02-22,978,8946844918410
o_9820755228716,2019-02-25,807,8946844918410
o_4102495521131,2019-03-17,1227,8946844918410
o_9546266230061,2019-03-31,1007,8946844918410
o_0589793269738,2019-04-07,1192,8946844918410
o_0402134977522,2019-05-21,1434,8946844918410
o_5607886777399,2019-09-03,602,5576690771711
o_2214494733186,2019-03-12,1225,6411348389247
o_5105198308473,2019-04-03,1278,6411348389247
o_2288564032387,2019-04-30,1028,6411348389247
o_6143722515378,2019-05-16,1356,6411348389247
o_2504853799121,2019-05-21,1512,6411348389247
o_4947581262068,2019-06-21,1703,6411348389247
o_9797489291432,2019-05-21,619,5821737772566
o_5394002770012,2019-06-27,1605,5821737772566
o_0988258893202,2019-07-28,1522,5821737772566
o_7452096729052,2019-08-25,1454,5821737772566
o_4603147474862,2019-07-13,1105,8439976174286
o_7310725046690,2019-07-17,1207,8439976174286
o_0183601365881,2019-07-28,1362,8439976174286
o_9502500188215,2019-09-06,1097,8439976174286
o_0805662130986,2019-07-15,1462,4792771365421
o_8363647018572,2019-08-14,783,4792771365421
o_0670931833321,2019-09-04,880,4792771365421
o_0004563592644,2019-06-20,342,8817470095410
o_9302782712319,2019-06-24,739,8817470095410
o_4504380539304,2019-08-03,663,8817470095410
o_5679962467685,2019-08-14,470,8817470095410
o_7160267142882,2019-03-20,1497,5650928385595
o_0049832566704,2019-04-28,1225,5650928385595
o_2306748250355,2019-04-28,1686,5650928385595
o_4235698591608,2019-04-28,1261,5650928385595
o_3456235819042,2019-04-29,1203,5650928385595
o_6544414377456,2019-04-30,946,5650928385595
o_9753914140164,2019-07-31,1318,6800105136147
o_8221458627379,2019-08-05,1239,6800105136147
o_9899618014360,2019-08-05,350,6800105136147
o_8489740108207,2019-09-06,1639,6800105136147
o_4777964582434,2019-06-19,854,7576258633190
o_9993061759202,2019-07-25,430,7576258633190
o_4886369027171,2019-08-16,1573,7576258633190
o_0167413317108,2019-09-08,1681,8635361866280
o_7085248910062,2019-08-05,381,4147336101561
o_7752173055723,2019-05-27,893,3263241801790
o_4732949768524,2019-07-07,1700,3263241801790
o_8862053017440,2019-08-05,653,3263241801790
o_1132206126273,2019-09-03,779,3263241801790
o_4047724777890,2019-05-28,1041,1349234763404
o_4725521980858,2019-06-22,1282,1349234763404
o_3300664786980,2019-07-12,471,1349234763404
